JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANNUAL,STATE_UT_NAME
42.2,80.8,176.4,358.5,306.4,447,660.1,427.8,313.6,167.1,34.1,29.8,3043.8,ARUNACHAL PRADESH
33.3,79.5,105.9,216.5,323,738.3,990.9,711.2,568,206.9,29.5,31.7,4034.7,ARUNACHAL PRADESH
28,48.3,85.3,101.5,140.5,228.4,217.4,182.8,159.8,75.9,20.9,11.6,1300.4,ARUNACHAL PRADESH
42.2,72.7,141,316.9,328.7,614.7,851.9,500.6,418.3,218.7,42.9,22.9,3571.5,ARUNACHAL PRADESH
42.2,80.8,176.4,358.5,306.4,447,660.1,427.8,313.6,167.1,34.1,29.8,3043.8,ARUNACHAL PRADESH
83.7,153.9,303.5,383.6,268,374.2,272,160.5,266.7,167.2,64,56,2553.3,ARUNACHAL PRADESH
70.3,170.9,367.9,554.4,334.2,526.2,460.8,291.5,353.6,275,64.9,74.2,3543.9,ARUNACHAL PRADESH
33.5,67.8,106.1,226.9,453,640.5,609.5,503.4,492.3,214.7,19.2,11.3,3378.2,ARUNACHAL PRADESH
97.5,109.3,92.4,204.3,266.2,284.1,248.9,270.5,192.7,78.5,49.5,27.2,1921.1,ARUNACHAL PRADESH
74.3,176.7,362.6,397.5,408.7,801.9,653,417.9,686,264.9,86.9,71.7,4402.1,ARUNACHAL PRADESH
26,66.7,76.8,229.2,239.5,416.6,592.4,312.4,291.1,126.8,33.7,29.5,2440.7,ARUNACHAL PRADESH
83.7,153.9,303.5,383.6,268,374.2,272,160.5,266.7,167.2,64,56,2553.3,ARUNACHAL PRADESH
35.2,43.5,58.9,134.3,341.1,665.3,749.9,579.1,490.9,233.9,40.3,27,3399.4,ARUNACHAL PRADESH
49,74.4,96.5,156.9,208,345.7,368.5,256.2,275.9,138.2,34.4,27.2,2030.9,ARUNACHAL PRADESH
35.2,43.5,58.9,134.3,341.1,665.3,749.9,579.1,490.9,233.9,40.3,27,3399.4,ARUNACHAL PRADESH
82.7,70,128.2,245.7,271.4,292.7,404,276.3,283.5,92.3,32.3,42.4,2221.5,ARUNACHAL PRADESH
11.9,36,38.4,59.2,120.9,259.1,287.2,334.4,296.4,190.1,38.8,6.6,1679,ORISSA
11.1,15.9,20.1,22.7,37.5,200.5,386.2,366.9,220.5,69.5,13.6,6.3,1370.8,ORISSA
12.7,26.2,29.8,36.2,68.2,199.7,319.2,373.2,230.2,114.6,34.2,4.1,1448.3,ORISSA
14.7,26.9,28.9,43.2,74.3,227.2,338,352.3,245,124.5,40.2,4.5,1519.7,ORISSA
7.3,20.8,31.3,38.4,71.2,226.1,315.8,369.1,233.4,125.5,25.5,4.6,1469,ORISSA
13.3,22.7,30.3,41.5,85.3,158.8,219.2,245,210.4,198.4,70.8,8.8,1304.5,ORISSA
4.8,15,15.3,25.6,44.2,237.5,368.5,371.8,229.8,72.3,13.4,4.8,1403,ORISSA
16.2,31.8,37,50.2,101.2,232.9,277.7,320.2,225.7,113.6,24.5,5.7,1436.7,ORISSA
5.2,12.3,16.3,53.2,89.4,200.8,384.1,410.5,267.4,147.6,31.9,3.8,1622.5,ORISSA
11.2,25.4,47.9,61.4,110.2,279.7,323.9,373.8,278.5,119.1,23.6,6,1660.7,ORISSA
16.1,25.8,18.9,17.6,65.3,168.9,268.5,328.4,255.7,185.3,56.3,9.4,1416.2,ORISSA
12.1,19.9,20.1,15.6,32.4,226.6,418.3,464.6,251.6,58.2,9,5.1,1533.5,ORISSA
19.3,16.3,18,14.4,39.6,216.9,368.3,373.2,217.5,50.4,8.8,5.1,1347.8,ORISSA
9.9,34.1,37.6,53.1,103.9,218.4,269.8,354,227.7,159.5,35.3,4.1,1507.4,ORISSA
10.6,28.4,33.5,48,91.9,250,283.5,363.2,258.1,134.6,33.6,5.9,1541.3,ORISSA
8.4,32.6,37.2,27.8,90.5,205.8,257.4,362.6,262.7,179.9,70.2,5.5,1540.6,ORISSA
6.9,19.1,25.1,29.7,55.4,205.8,320.2,355.4,228,98.1,14.7,3.6,1362,ORISSA
12.5,11.8,16.9,24,33.9,182.9,347.3,302.1,184.9,60.7,14.8,5.6,1197.4,ORISSA
1.8,5.5,10.4,35.3,61.6,206.9,437.3,449.2,230.7,116.3,16.9,0.8,1572.7,ORISSA
5.9,12.6,14.4,53.9,104.1,241.6,430.9,432.1,242.7,102.6,19,0.7,1660.5,ORISSA
13.6,22.5,26.2,42,47.7,213.4,312.2,327.4,242.2,152.2,47.9,2.8,1450.1,ORISSA
10.1,25.9,26.9,30.9,68,186.4,310.8,339.3,251.5,167.7,45.5,6.5,1469.5,ORISSA
8.7,14.9,18.1,14.8,19.5,188.4,362.1,357.4,217.9,51.2,6.8,5.1,1264.9,ORISSA
16.6,21.2,18.6,18.4,36.6,224.6,402.3,415.8,239.1,63.8,10.1,7.2,1474.3,ORISSA
12.1,19.9,20.1,15.6,32.4,226.6,418.3,464.6,251.6,58.2,9,5.1,1533.5,ORISSA
12.4,23.1,38.5,56,94,173.2,314.6,266.5,206.2,109.4,29,4,1326.9,ORISSA
9.5,35,64.2,79.1,136.8,201.7,241,261.1,226.5,141.8,60.2,5.2,1462.1,ORISSA
10.7,29,35.3,41.3,107.1,237.2,287.3,360.6,235.7,145.1,67.5,8.2,1565,ORISSA
12.7,26.2,29.8,36.2,68.2,199.7,319.2,373.2,230.2,114.6,34.2,4.1,1448.3,ORISSA
6,14.3,18.5,14.3,30.4,178.2,380.4,432.5,252.3,56.9,6.7,4.9,1395.4,ORISSA
1.2,1.7,2.3,3.2,9.1,27.4,88.6,86.7,40.7,4.1,3.2,0.4,268.6,RAJASTHAN
4.1,7.8,5.7,4.1,14.3,29.2,85.7,74.6,39.2,4.4,2.5,2.4,274,RAJASTHAN
6.2,7.4,6.3,4.9,16.4,37.7,126.6,101.7,47.7,9.9,2.4,2.4,369.6,RAJASTHAN
6,8,9.3,7,11.6,25.5,79.3,64.9,31.7,3.1,2.1,4.4,252.9,RAJASTHAN
1.7,2.9,2.2,3.8,6.6,19.4,59.3,56.9,22.8,3.1,1.5,1,181.2,RAJASTHAN
1.8,1.1,2.6,1.4,8.2,34.5,161.1,132.2,66.4,9.2,7.6,1,427.1,RAJASTHAN
2.9,3.1,2.7,5.2,11.1,27.9,109.5,94.6,42.5,4.9,2.7,1,308.1,RAJASTHAN
4.1,5.5,2.7,4.7,15.3,42.5,142.6,116,47.4,7.9,2.6,2.8,394.1,RAJASTHAN
3.7,2.5,2.9,2.7,9.5,41.9,177.3,152.9,74.6,11.9,4.6,1.2,485.7,RAJASTHAN
7.5,8.6,5.7,4.9,13,32.2,103.4,83.4,33.5,3.4,3.6,2.4,301.6,RAJASTHAN
3.7,2,2.1,2.2,8.9,43.6,171,155,60,9.7,2.5,1.5,462.2,RAJASTHAN
9.6,10.2,5.6,5.5,15.8,44.2,196.9,213.3,100.9,20,4.1,4.8,630.9,RAJASTHAN
2.8,0.5,1.6,0.9,5.2,97.7,284.3,302.5,147.3,24.4,12.6,3.2,883,RAJASTHAN
9.3,8.9,5.3,3.8,11.2,40.4,184.7,229.8,102.7,17.7,3.4,3.9,621.1,RAJASTHAN
4.8,3.8,3.9,3,10.4,60,213.6,217.7,89.6,11.7,8,3.7,630.2,RAJASTHAN
5.6,3.3,3.3,2.3,6.6,62.2,256.6,235.8,101.3,16.7,8.3,3.6,705.6,RAJASTHAN
4.3,1.5,2.7,3.3,10.1,71.5,249.9,269.9,118.4,18.1,13.2,2.4,765.3,RAJASTHAN
1.7,0.6,1.8,1.2,4.6,77.1,228.5,221.9,110.3,14.8,12.6,2.7,677.8,RAJASTHAN
6.7,7.5,2.4,3.9,15,52.1,206.9,192.5,73.1,11.8,2.7,2.6,577.2,RAJASTHAN
6.8,2.3,3.4,1.4,7,84.1,285.8,335.8,149.4,27,11.6,5.6,920.2,RAJASTHAN
7.7,9.1,6.3,5,20.7,52.9,153.1,144,60,13.3,3.5,5.4,481,RAJASTHAN
6.8,3.2,3.2,2.5,6.9,69.8,275.2,276.8,124.5,24.9,10.6,3.5,807.9,RAJASTHAN
7.3,6.4,2.9,2.9,9.8,53.9,253.4,264.5,92.2,19.4,4.7,3.6,721,RAJASTHAN
7.2,8.3,4.2,4.7,19.1,48.2,167.1,134,53.2,10.7,3.8,3.3,463.8,RAJASTHAN
4.1,1.5,3.2,2.7,10.1,72.2,332,313,151.4,12.9,8.6,1.7,913.4,RAJASTHAN
5,5.3,2.7,3,10.1,56.1,219.7,210.5,79.7,13.9,4.9,3,613.9,RAJASTHAN
2.8,2,4.3,2.2,8.2,73.6,207.5,203.7,106.5,15.2,11.1,2.6,639.7,RAJASTHAN
8.6,9.5,7,2.5,8.6,54.5,211.7,266.1,117.7,26.3,4.3,5.3,722.1,RAJASTHAN
7.1,3.2,2.8,1.7,6.5,73.3,295.3,303.6,120,25.2,9.7,4.3,852.7,RAJASTHAN
8.7,7,4.2,4.1,12.8,52.4,237,228.2,94.5,17.1,4.7,4.1,674.8,RAJASTHAN
4,2.2,3.7,2.6,12.3,68.1,176.8,177.6,83.5,13.7,6.9,3.1,554.5,RAJASTHAN
9.1,7.7,3.5,2.4,9.9,50.8,220.5,269.8,96.3,17,5.4,3.8,696.2,RAJASTHAN
3.6,1.2,3.4,3.3,5.8,108.3,283.3,290.4,163.8,32.8,16.4,3,915.3,RAJASTHAN
